IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.13.133,2096,2096,true,NRT,Asia Pacific,Tokyo,92,10.37
141.147.166.189,8880,8880,false,NRT,Asia Pacific,Tokyo,87,10.37
138.2.21.31,2095,2095,false,NRT,Asia Pacific,Tokyo,87,10.37
158.179.189.106,8443,8443,true,NRT,Asia Pacific,Tokyo,99,10.36
151.145.69.174,2095,2095,false,NRT,Asia Pacific,Tokyo,81,10.36
150.230.214.218,2053,2053,true,NRT,Asia Pacific,Tokyo,81,10.36
158.180.61.65,443,443,true,CDG,Europe,Paris,167,10.35
138.2.8.232,2082,2082,false,NRT,Asia Pacific,Tokyo,83,10.34
158.180.18.123,443,443,true,FRA,Europe,Frankfurt,183,10.34
151.145.71.40,8443,8443,true,NRT,Asia Pacific,Tokyo,91,10.32
141.147.175.230,2096,2096,true,NRT,Asia Pacific,Tokyo,127,10.32
150.230.108.135,8443,8443,true,NRT,Asia Pacific,Tokyo,216,10.31
141.147.164.54,80,80,false,NRT,Asia Pacific,Tokyo,75,10.31
151.145.71.40,2096,2096,true,NRT,Asia Pacific,Tokyo,95,10.30
158.101.84.123,2087,2087,true,NRT,Asia Pacific,Tokyo,120,10.28
129.159.195.155,443,443,true,FRA,Europe,Frankfurt,169,10.28
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,91,10.28
151.145.69.105,2095,2095,false,NRT,Asia Pacific,Tokyo,94,10.28
138.2.14.248,8880,8880,false,NRT,Asia Pacific,Tokyo,81,10.27
141.147.168.13,8443,8443,true,NRT,Asia Pacific,Tokyo,157,10.26
141.144.198.122,443,443,true,FRA,Europe,Frankfurt,193,10.25
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,175,10.24
141.147.179.64,2096,2096,true,NRT,Asia Pacific,Tokyo,79,10.24
150.230.97.239,8443,8443,true,NRT,Asia Pacific,Tokyo,100,10.24
130.162.176.194,443,443,true,FRA,Europe,Frankfurt,186,10.24
141.147.164.153,2052,2052,false,NRT,Asia Pacific,Tokyo,82,10.23
141.147.78.2,443,443,true,FRA,Europe,Frankfurt,161,10.23
138.3.210.114,2053,2053,true,NRT,Asia Pacific,Tokyo,77,10.21
151.145.71.40,2087,2087,true,NRT,Asia Pacific,Tokyo,99,10.21
138.3.210.114,2083,2083,true,NRT,Asia Pacific,Tokyo,156,10.20
150.230.220.232,80,80,false,NRT,Asia Pacific,Tokyo,81,10.19
138.2.24.114,2082,2082,false,NRT,Asia Pacific,Tokyo,97,10.19
141.147.175.230,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.19
143.47.183.136,443,443,true,FRA,Europe,Frankfurt,196,10.18
150.230.47.17,443,443,true,SJC,North America,San Jose,182,10.18
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,152,10.18
140.238.54.184,8443,8443,true,NRT,Asia Pacific,Tokyo,79,10.18
150.230.119.22,443,443,true,FRA,Europe,Frankfurt,172,10.17
141.147.63.244,443,443,true,AMS,Europe,Amsterdam,176,10.17
141.147.169.131,2053,2053,true,NRT,Asia Pacific,Tokyo,79,10.17
138.3.214.43,8443,8443,true,NRT,Asia Pacific,Tokyo,114,10.16
141.147.169.131,2095,2095,false,NRT,Asia Pacific,Tokyo,91,10.15
141.147.169.195,8080,8080,false,NRT,Asia Pacific,Tokyo,81,10.15
150.230.219.168,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.14
143.47.176.116,443,443,true,FRA,Europe,Frankfurt,165,10.14
138.3.217.39,8080,8080,false,NRT,Asia Pacific,Tokyo,76,10.14
130.162.179.74,443,443,true,FRA,Europe,Frankfurt,174,10.13
158.179.186.251,2087,2087,true,NRT,Asia Pacific,Tokyo,86,10.13
165.1.79.60,8443,443,true,SJC,North America,San Jose,174,10.13
